Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
64376751,"Unit 2 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,,,5500,W004,Warehouse And Premises,2010-04-01,SBR,,,,,,,,,Y,,,Y,
64376753,"Unit 4 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,,,3400,W004,Warehouse And Premises,2010-04-01,SBR,,,,,,,,,Y,,,Y,
64376755,"Unit 3 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,,,4150,W004,Warehouse And Premises,2018-05-01,SBR,,,,,,,,,Y,,,Y,
64376756,"Unit 1 Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,,,8800,W027,Workshop And Premises,2010-04-01,SBR,,,,,,,,,Y,,,Y,
64376758,"Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Unify P R & Marketing Ltd,,8900,W027,Workshop And Premises,2019-04-01,SBR,,,,,,,,,Y,,,Y,
64376759,"Waterjet Uk Ltd, Old Foundry, Brighouse Road, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Waterjet Uk Ltd,"Old Foundry, Brighouse Road, Hipperholme, HX3 8EF",11000,W027,Workshop And Premises,2010-04-01,SBR,,,,,,,,,Y,,,Y,
64376760,"Finishing Design Services, Old Foundry, Brighouse Road, Halifax              HX3 8EF",HX3 8EF,53.7201,-1.81069,Finishing Design Services Ltd,"Old Foundry, Brighouse Road, Hipperholme, Halifax, HX3 8EF",30750,W027,Workshop And Premises,2010-04-01,SBR,,,,,,,,,,,Y,Y,
64380700,"Brighouse&Denholmegate Rd, Shelf, Halifax, HX3 7TG",HX3 7TG,53.75316,-1.83082,,,9100,C104,Club and Premises,1990-04-01,SBR,,,,,,,,,Y,,,Y,
64380703,"Dundee Farm, Brighouse&Denholmegate Rd, Shelf, Halifax             HX3 7TG",HX3 7TG,53.75316,-1.83082,,,2150,S108,Stables,1998-06-01,SBR,,,,,,,,,Y,,,Y,
64380705,"Laura Brennan, Equestrian Centre, Brighouse&Denholmegate Rd, Shelf                HX3 7TL",HX3 7TL,53.74032,-1.81989,,,5700,L032,Livery Stables And Premises,2007-10-01,SBR,,,,,,,,,Y,,,Y,
